Comment,Designator,Footprint,LCSC Part #
,JP1,Adafruit eInk Breakout Friend-import-fps:1X12_ROUND_76MIL,C7501588
,U$2,Adafruit eInk Breakout Friend-import-fps:ADAFRUIT_3.5MM,
,U$9,Adafruit eInk Breakout Friend-import-fps:PCBFEAT-REV-040,
,U1,Adafruit eInk Breakout Friend-import-fps:TSSOP20,
0.47ohm,R2,Adafruit eInk Breakout Friend-import-fps:0805-NO,
100K,"R1,R3,R5,R6",Adafruit eInk Breakout Friend-import-fps:0603-NO,C25803
10uF,"C5,C15",Adafruit eInk Breakout Friend-import-fps:0805-NO,
10uH,L1,Adafruit eInk Breakout Friend-import-fps:INDUCTOR_4X4MM_NR401,
10µF,"C20,C21",Adafruit eInk Breakout Friend-import-fps:0805-NO,
1uF,"C2,C3,C4,C6,C7,C16,C22,C23,C24",Adafruit eInk Breakout Friend-import-fps:0805-NO,
1uF,C1,Adafruit eInk Breakout Friend-import-fps:0805_10MGAP,
23K256-I/SN,U4,Adafruit eInk Breakout Friend-import-fps:SOIC8_150MIL,
3 ohm,R4,Adafruit eInk Breakout Friend-import-fps:0805-NO,
AP2112K-3.3,U2,Adafruit eInk Breakout Friend-import-fps:SOT23-5,
EINK_24PIN_CONNECTOR,EINK2,Adafruit eInk Breakout Friend-import-fps:EINK_24PIN,
IRLML0100,Q5,Adafruit eInk Breakout Friend-import-fps:SOT23-3,
MBR0530,"D1,D2,D3",Adafruit eInk Breakout Friend-import-fps:SOD-123,
