Designator,Mid X,Mid Y,Rotation,Layer
C1,6.7510,5.7900,0.00,Top
C2,29.7180,14.9860,90.00,Top
C3,11.8110,11.0490,0.00,Top
C4,11.9380,7.6200,180.00,Top
C5,6.3500,9.2710,0.00,Top
C6,2.1590,13.9700,0.00,Top
C7,26.7970,10.5410,90.00,Top
C15,10.7070,5.7190,0.00,Top
C16,2.1200,15.7120,0.00,Top
C20,2.1070,10.4310,180.00,Top
C21,2.1070,12.2020,180.00,Top
C22,28.7020,10.5410,90.00,Top
C23,27.6860,16.7640,90.00,Top
C24,30.6070,10.5410,90.00,Top
D1,10.7950,9.2710,0.00,Top
D2,7.4930,7.6200,0.00,Top
D3,7.3660,11.0490,180.00,Top
EINK2,18.0340,18.6436,0.00,Top
JP1,17.1450,2.5400,0.00,Top
L1,8.0010,13.9700,180.00,Top
Q5,12.1920,13.5890,180.00,Top
R1,1.9050,5.3340,0.00,Top
R2,6.6040,17.6530,90.00,Top
R3,22.6695,5.4610,180.00,Top
R4,8.3820,17.6530,90.00,Top
R5,18.1610,5.4610,180.00,Top
R6,25.9080,5.4610,0.00,Top
U1,22.3520,11.1760,0.00,Top
U2,2.2860,7.7470,-90.00,Top
U4,16.2770,10.9420,180.00,Top
U$2,32.6390,8.7630,180.00,Top
U$9,6.1595,20.1295,180.00,Bottom
