Designator,Comment,Footprint,OOMP ID,Reason
C1,10uF/16V,Adafruit TPS61040 Boost Converter-import-fps:0805-NO,electronic_capacitor_0805_10_micro_farad,No verified LCSC part number
C2,22uF,Adafruit TPS61040 Boost Converter-import-fps:0805-NO,electronic_capacitor_0805_22_micro_farad,No verified LCSC part number
D1,MBR120,Adafruit TPS61040 Boost Converter-import-fps:SOD-123FL,,No verified LCSC part number
L1,MPL2520S100MWT,Adafruit TPS61040 Boost Converter-import-fps:INDUCTOR_1007,,No verified LCSC part number
R2,875K,Adafruit TPS61040 Boost Converter-import-fps:0603-NO,,No verified LCSC part number
U1,TPS61040,Adafruit TPS61040 Boost Converter-import-fps:SOT23-5,,No verified LCSC part number
U$10,,Adafruit TPS61040 Boost Converter-import-fps:PCBFEAT-REV-040,,No verified LCSC part number
U$11,,Adafruit TPS61040 Boost Converter-import-fps:ADAFRUIT_2.5MM,,No verified LCSC part number
