Comment,Designator,Footprint,LCSC Part #
,JP4,Adafruit Motor Shield v2.3-import-fps:1X02_ROUND,C492401
,"SERVO1,SERVO2",Adafruit Motor Shield v2.3-import-fps:1X03,C49257
,JP1,Adafruit Motor Shield v2.3-import-fps:1X04_ROUND_76,C42431795
,D0-7,Adafruit Motor Shield v2.3-import-fps:1X08-CLEANBIG,
,JP2,Adafruit Motor Shield v2.3-import-fps:1X08-CLEANBIG,C492421
,JP3,Adafruit Motor Shield v2.3-import-fps:1X10_ROUND70,C57369
,U$6,Adafruit Motor Shield v2.3-import-fps:ADAFRUIT_3.5MM,
,U$5,Adafruit Motor Shield v2.3-import-fps:ADAFRUIT_TEXT_30MM,
,PWR0,Adafruit Motor Shield v2.3-import-fps:JP1,
,"A0,A1,A2,A3,A4",Adafruit Motor Shield v2.3-import-fps:SOLDERJUMPER_REFLOW_NOPASTE,
,"TP1,TP2,TP3,TP4,TP5",Adafruit Motor Shield v2.3-import-fps:TESTPOINT_ROUND_2MM,
0.1uF,"C1,C2,C3",Adafruit Motor Shield v2.3-import-fps:0805-NO,
10\0uF 6.3V,C9,Adafruit Motor Shield v2.3-import-fps:PANASONIC_C,
10k,"R1,R2,R3,R5,R6",Adafruit Motor Shield v2.3-import-fps:0805-NO,C17414
10K,"R7,R8",Adafruit Motor Shield v2.3-import-fps:0805-NO,C17414
10uF,"C6,C10",Adafruit Motor Shield v2.3-import-fps:0805-NO,
1K,R4,Adafruit Motor Shield v2.3-import-fps:0805-NO,C17513
1X2-3.5MM,"MPOWER0,SERPWR0",Adafruit Motor Shield v2.3-import-fps:1X2-3.5MM,C492401
1X4-CLEANBIG,CN1,Adafruit Motor Shield v2.3-import-fps:1X04-CLEANBIG,
1X5,"J1,J2",Adafruit Motor Shield v2.3-import-fps:1X05-3.5MM,C42431835
47uF+/16v,C5,Adafruit Motor Shield v2.3-import-fps:PANASONIC_C,
47uF/16v,C4,Adafruit Motor Shield v2.3-import-fps:PANASONIC_C,
AOD417,Q1,Adafruit Motor Shield v2.3-import-fps:D-PAK_TO252AA,
ARDUINO_R3_ICSP,U$1,Adafruit Motor Shield v2.3-import-fps:ARDUINOR3_ICSP,
FIDUCIAL,"U$2,U$3,U$4",Adafruit Motor Shield v2.3-import-fps:FIDUCIAL_1MM,
Green,LED1,Adafruit Motor Shield v2.3-import-fps:CHIPLED_0805_NOOUTLINE,
PCA9685,U2,Adafruit Motor Shield v2.3-import-fps:TSSOP28,
SPST_TACT-EVQQ2,SW1,Adafruit Motor Shield v2.3-import-fps:EVQ-Q2,
TB6612FNG,"IC1,IC3",Adafruit Motor Shield v2.3-import-fps:SSOP24,
