Comment,Designator,Footprint,LCSC Part #
,FTDI0,Adafruit FTDI Friend Rev A-import-fps:1X06-CLEANBIG,C37208
,U$3,Adafruit FTDI Friend Rev A-import-fps:ADAFRUIT200MIL,
0.1uF,"C2,C3",Adafruit FTDI Friend Rev A-import-fps:C0805K,
10,"R1,R5",Adafruit FTDI Friend Rev A-import-fps:R0805,C17415
10uF,C1,Adafruit FTDI Friend Rev A-import-fps:A_3216-18R,
1K,"R2,R3",Adafruit FTDI Friend Rev A-import-fps:R0805,C17513
FIDUCIAL,"U$1,U$2",Adafruit FTDI Friend Rev A-import-fps:FIDUCIAL_1MM,
FT232RL,IC1,Adafruit FTDI Friend Rev A-import-fps:SSOP28,
Green,RX0,Adafruit FTDI Friend Rev A-import-fps:CHIP-LED0805,
MINIB,CN1,Adafruit FTDI Friend Rev A-import-fps:USB-MINIB,
Red,TX0,Adafruit FTDI Friend Rev A-import-fps:CHIP-LED0805,
