Comment,Designator,Footprint,LCSC Part #
,U$4,Adafruit min8x8 backpack-import-fps:ADAFRUIT_2.5MM,
,"A0,A1",Adafruit min8x8 backpack-import-fps:SOLDERJUMPER_REFLOW_NOPASTE,
,U1,Adafruit min8x8 backpack-import-fps:SOP24_300MIL,
10K,"R1,R2,R3,R4",Adafruit min8x8 backpack-import-fps:R0805,C17414
10uF,C1,Adafruit min8x8 backpack-import-fps:C0805,
1N4148,D1,Adafruit min8x8 backpack-import-fps:SOD-323F,
1X4-CLEANBIG,CN1,Adafruit min8x8 backpack-import-fps:1X04-CLEANBIG,
BL-M07C881UR,LED1,Adafruit min8x8 backpack-import-fps:SEGMENT_BL-M07C881UR,
FIDUCIAL,"U$1,U$2",Adafruit min8x8 backpack-import-fps:FIDUCIAL_1MM,
