Designator,Comment,Footprint,OOMP ID,Reason
C1,22uF,Adafruit MPM3610-import-fps:0805-NO,electronic_capacitor_0805_22_micro_farad,No verified LCSC part number
C2,22uF,Adafruit MPM3610-import-fps:0805-NO,electronic_capacitor_0805_22_micro_farad,No verified LCSC part number
IC1,MPM3610,Adafruit MPM3610-import-fps:MPM3610,,No verified LCSC part number
R3,24K,Adafruit MPM3610-import-fps:0603-NO,,No verified LCSC part number
U$10,,Adafruit MPM3610-import-fps:PCBFEAT-REV-040,,No verified LCSC part number
U$11,,Adafruit MPM3610-import-fps:ADAFRUIT_2.5MM,,No verified LCSC part number
