Designator,Mid X,Mid Y,Rotation,Layer
C1,47.8790,12.4460,0.00,Top
JP1,16.5100,3.8100,180.00,Top
JP2,21.5900,19.0500,0.00,Top
JP3,4.4450,11.4300,-90.00,Top
JP4,12.7000,7.6200,0.00,Top
JP5,26.6700,11.4300,-90.00,Top
JP6,19.0500,7.6200,0.00,Top
JP7,15.2400,15.2400,0.00,Top
MS1,0.0000,0.0000,0.00,Top
R1,15.3670,11.9380,180.00,Top
R2,11.6840,11.4300,180.00,Top
SW1,9.6520,20.4470,0.00,Top
U4,37.2110,11.4300,0.00,Top
U$14,7.4930,11.4300,180.00,Bottom
U$15,46.7360,14.4780,0.00,Top
U$16,50.9270,8.6360,180.00,Bottom
X1,50.6730,4.4450,180.00,Top
