Designator,Mid X,Mid Y,Rotation,Layer
AD0,2.5400,11.5570,-90.00,Top
C1,38.2905,56.5785,180.00,Top
C2,44.8310,42.4815,-90.00,Top
C3,19.5580,25.0825,90.00,Top
C4,28.7020,26.1620,90.00,Top
C5,30.4800,22.6060,-90.00,Top
C6,34.0360,42.6085,-90.00,Top
C7,8.8900,55.6260,180.00,Top
C8,42.5450,13.6525,0.00,Top
C10,8.8900,53.7210,180.00,Top
C11,19.1770,22.2885,180.00,Top
C12,19.4310,28.5115,90.00,Top
C13,28.7655,22.6060,-90.00,Top
C14,44.4500,60.8965,-90.00,Top
C15,42.9260,57.4040,90.00,Top
C17,8.7630,51.6890,180.00,Top
C18,7.7470,49.6570,180.00,Top
CHG1,37.7825,6.5151,0.00,Top
CONN1,50.2920,60.1980,90.00,Top
D1,6.2230,53.9115,90.00,Top
D4,21.8440,24.1935,90.00,Top
F2,41.0845,57.4675,-90.00,Top
FD1,52.0700,65.4050,-90.00,Top
FD2,4.6760,2.6750,-90.00,Top
FD3,1.8860,66.7550,-90.00,Top
ICSP0,27.9400,4.0640,180.00,Top
IOH0,50.8000,38.4810,-90.00,Top
IOL0,50.8000,14.0970,-90.00,Top
JP2,34.0360,55.2450,-90.00,Top
L0,40.7797,37.2872,90.00,Top
LED1,41.5290,42.1640,0.00,Top
ON0,40.7289,39.2684,90.00,Top
PC1,13.8430,34.3535,0.00,Top
PC2,13.9700,19.3675,180.00,Top
POWER0,2.5400,31.8770,-90.00,Top
Q1,20.3200,19.6215,90.00,Top
Q2,25.0825,26.7970,-90.00,Top
R1,45.2120,63.2460,0.00,Top
R2,37.7825,9.5123,90.00,Top
R3,35.8775,57.0230,90.00,Top
R4,36.1315,9.6520,-90.00,Top
R5,46.0375,54.4830,180.00,Top
R6,43.8023,39.1160,0.00,Top
R7,46.0375,56.1340,180.00,Top
R8,38.1635,58.3565,0.00,Top
R9,43.8023,37.3380,0.00,Top
R12,23.9395,20.1930,180.00,Top
R14,23.9395,18.4150,180.00,Top
R15,21.0185,28.5115,-90.00,Top
R16,22.6060,28.5115,-90.00,Top
R17,35.6235,42.6085,90.00,Top
SW1,38.8620,28.7020,180.00,Top
SW3,47.3710,66.9925,0.00,Top
SW4,3.0480,47.2440,-90.00,Top
TP1,31.2420,44.0690,180.00,Bottom
U1,14.4780,27.1145,90.00,Top
U2,38.4810,12.8905,90.00,Top
U4,25.5270,22.6695,-90.00,Top
U5,22.7330,52.1970,0.00,Top
U$15,44.6405,18.5420,0.00,Top
U$52,0.0000,0.0000,0.00,Top
U$58,53.3400,0.0000,180.00,Bottom
X1,43.0530,7.5565,180.00,Top
X2,39.1160,48.6410,0.00,Top
X3,38.8620,16.0020,180.00,Top
X4,38.1000,63.6270,180.00,Top
X5,5.5880,61.5315,-90.00,Top
X6,16.5100,9.3980,0.00,Top
