Comment,Designator,Footprint,LCSC Part #
,JP1,i2cspilcdbackpack-import-fps:1X16,C7501270
,U$3,i2cspilcdbackpack-import-fps:ADAFRUIT200MIL,
,"A0,A1,A2,SPI0",i2cspilcdbackpack-import-fps:SJ,
,Q1,i2cspilcdbackpack-import-fps:SOT23-BEC,
0.1uF,C2,i2cspilcdbackpack-import-fps:C0805K,
10k,"R1,R2,R3,R6,R7",i2cspilcdbackpack-import-fps:R0805,C17414
10K,CONTRAST0,i2cspilcdbackpack-import-fps:TC33X,
10uF,C1,i2cspilcdbackpack-import-fps:A_3216-18R,
1X5,J1,i2cspilcdbackpack-import-fps:3.5MM-5P,
4.7k,"R4,R5",i2cspilcdbackpack-import-fps:R0805,C2907264
74LS595D,IC2,i2cspilcdbackpack-import-fps:SO16,
FIDUCIAL,"U$1,U$2",i2cspilcdbackpack-import-fps:FIDUCIAL_1MM,
MCP2300X/SO,IC1,i2cspilcdbackpack-import-fps:SO18W,
