Designator,Comment,Footprint,OOMP ID,Reason
C1,10n,_PKG_C_0402,electronic_capacitor_0402_10_nano_farad,No verified LCSC part number
J1,,1X06_LOCK,electronic_connector_header_2_54_mm_pitch_through_hole_6_pin,No verified LCSC part number
LED1,Green,_PKG_LED_0603,electronic_led_0603_green,No verified LCSC part number
R3,510k,_PKG_R_0402,electronic_resistor_0402_510000_ohm,No verified LCSC part number
R4,2k2,_PKG_R_0402,electronic_resistor_0402_2200_ohm,No verified LCSC part number
XT1,12MHz,XTAL-4P-3225,electronic_crystal_3225_surface_mount_4_pin_12_mhz_20_pf,No verified LCSC part number
