Designator,Comment,Footprint,OOMP ID,Reason
+0,,brain-import-fps:1X01,,No verified LCSC part number
C1,1.0uF,"brain-import-fps:E2,5-5",,No verified LCSC part number
C2,1.0uF,"brain-import-fps:E2,5-5",,No verified LCSC part number
IC1,ATTINY25-20P,brain-import-fps:DIL08,,No verified LCSC part number
ISP0,AVRISP-6,brain-import-fps:AVRISP,,No verified LCSC part number
L+0,,brain-import-fps:1X01,,No verified LCSC part number
L-0,,brain-import-fps:1X01,,No verified LCSC part number
ON/OFF0,,brain-import-fps:B3F-10XX,,No verified LCSC part number
R1,1.0k,brain-import-fps:0207_10,,No verified LCSC part number
R2,1.0k,brain-import-fps:0207_10,,No verified LCSC part number
R3,47ohm,brain-import-fps:0207_10,,No verified LCSC part number
R4,47ohm,brain-import-fps:0207_10,,No verified LCSC part number
R+0,,brain-import-fps:1X01,,No verified LCSC part number
R-0,,brain-import-fps:1X01,,No verified LCSC part number
U$1,,brain-import-fps:ADAFRUIT200MIL,,No verified LCSC part number
X1,STEREOJACK,brain-import-fps:STX3100,,No verified LCSC part number
