Designator,Comment,Footprint,OOMP ID,Reason
K1,TERMINAL_KF235-5.0-2P,e-radionica.com footprinti:TERMINAL_KF235-5.0-2P,electronic_connector_terminal_block_5_mm_pitch_through_hole_2_pin_kf235_5_0_2p,No verified LCSC part number
L1,Ferrite bead,e-radionica.com footprinti:0603L,electronic_ferrite_bead_0603_600_ohm_500_milliamp,No verified LCSC part number
U1,TL431ACDBZ,e-radionica.com footprinti:SOT-23-3,electronic_ic_sot_23_3_power_management_shunt_regulator_texas_instruments_tl431acdbz,No verified LCSC part number
U2,AD8495ARMZ,e-radionica.com footprinti:TP4056M-MSOP8,electronic_ic_msop_8_amplifier_thermocouple_amplifier_texas_instruments_ad8495armz,No verified LCSC part number
