Comment,Designator,Footprint,LCSC Part #
,JP1,Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:1X01_ROUND,C7501259
,U$12,Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:METROM7_RT1011AIR_BOT,
,U$18,Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:METROM7_RT1011AIR_TOP,
,U$11,Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:PCBFEAT-REV-040,
,"TP1,TP2",Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:TESTPOINT_ROUND_1.5MM,
0.1uF,"C6,C7,C12,C13,C22,C32,C35,C37,C41,C43",Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:0603-NO,C14663
0.22uF,"C33,C38,C49,C50,C52,C53,C56,C57,C58",Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:0603-NO,
100K,"R1,R16",Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:0603-NO,C25803
10K,"R5,R7,R9,R10,R12,R13,R15",Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:0603-NO,C98220
10uF,"C2,C3,C5,C18,C19,C20,C21,C31,C39,C40,C45,C46,C47,C48,C51,C55",Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:0805-NO,
16pF,"C25,C26",Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:0603-NO,
1uF,"C29,C30,C36,C42,C44,C54",Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:0603-NO,C5673
1x10F,IOH0,Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:1X10_OVALWAVE,C57369
1x6F,AD0,Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:1X06_OVALWAVE,C37208
1x8F,"IOL0,POWER0",Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:1X08_OVALWAVE,C492421
2.1mm,X5,Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:DCJACK_2MM_PTH,
2.2M,R4,Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:0603-NO,C2933170
22uF,C34,Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:0805-NO,
24MHz 10pF,Y1,Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:CRYSTAL_2.5X2,
2x3M,ICSP0,Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:2X03_ROUND_70MIL,
"2x5 0.05"" SWD",X2,Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:2X05_1.27MM_BOX_POSTS,
30K,R6,Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:0603-NO,
4.7uH,L2,Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:INDUCTOR_1007,
47uF/25V,"PC1,PC2",Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:PANASONIC_D,
5.1K,"R2,R3,R8,R11,R14,R17",Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:0603-NO,C23186
6x6mm,RESET0,Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:EVQ-Q2_SMALLER,
74AHC1G125,IC1,Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:SOT23-5L,
AP2112K-3.3,U2,Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:SOT23-DBV,
ATECC108,ECC1,Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:SOIC8,
DIP2,SW2,Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:DIPSWITCH_2PIN,
DMP3098L-7,"T2,TR1",Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:SOT-23,
ESP32_WROOM32,X6,Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:WROOM32,
FIDUCIAL_1MM,"FD1,FD2,FD3",Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:FIDUCIAL_1MM,
FUSE,F2,Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:R1206,
GREEN,ON0,Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:CHIPLED_0603_NOOUTLINE,
IMX_RT1010,IC2,Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:QFP50P1400X1400X160-80N,
MBR120,D1,Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:SOD-123,
NCP1117ST50T3G,U1,Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:SOT223-R,
RED,L0,Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:CHIPLED_0603_NOOUTLINE,
RESET_SUPERVISORAPX80X_SA,IC4,Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:SOT23-WIDE,
SPDT_RA,SW1,Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:SPDT_SMT_SSSS811101,
STEMMA_I2C_QT,CONN1,Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:JST_SH4,C160404
USB C,X4,Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:USB_C_CUSB31-CFM2AX-01-X,
W25Q64JV,U3,Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:SOIC8_208MIL,
WS2812B_3535FULL,LED1,Adafruit Metro M7 iMX RT1011 with AirLift-import-fps:LED3535_FULLPADS,
