Comment,Designator,Footprint,LCSC Part #
,"JP1,JP2",Adafruit Trinket 5V microUSB-import-fps:1X01-CLEANBIG,C7501259
,U$5,Adafruit Trinket 5V microUSB-import-fps:ADAFRUIT_3.5MM,
,U$12,Adafruit Trinket 5V microUSB-import-fps:PCBFEAT-REV-040,
,U$14,Adafruit Trinket 5V microUSB-import-fps:SYMBOL_CE_TINY,
,U$13,Adafruit Trinket 5V microUSB-import-fps:SYMBOL_FCC_TINY,
1.5K (0603),R3,Adafruit Trinket 5V microUSB-import-fps:0603-NO,C2930050
10uF,"C1,C8",Adafruit Trinket 5V microUSB-import-fps:0805-NO,
1X4-CLEANBIG,"CN3,CN4",Adafruit Trinket 5V microUSB-import-fps:1X04-CLEANBIG,
3.6V,"D1,D3",Adafruit Trinket 5V microUSB-import-fps:SOD-323,
470 (0603),"R4,R5",Adafruit Trinket 5V microUSB-import-fps:0603-NO,C23179
68 (0603),"R1,R2",Adafruit Trinket 5V microUSB-import-fps:0603-NO,C27592
ATtiny85-MU,U1,Adafruit Trinket 5V microUSB-import-fps:MLF20_4X4MM_0.5MM_ATMEL,
"FIDUCIAL""""","U$1,U$6",Adafruit Trinket 5V microUSB-import-fps:FIDUCIAL_1MM,
green,PWR0,Adafruit Trinket 5V microUSB-import-fps:CHIPLED_0805_NOOUTLINE,
JST-PH2,BAT0,Adafruit Trinket 5V microUSB-import-fps:JSTPH2,
MIC5225-5.0v,IC2,Adafruit Trinket 5V microUSB-import-fps:SOT23-5L,
microUSB,CN1,Adafruit Trinket 5V microUSB-import-fps:4UCONN_20329,
red,B1,Adafruit Trinket 5V microUSB-import-fps:CHIPLED_0805_NOOUTLINE,
reset,Q1,Adafruit Trinket 5V microUSB-import-fps:BTN_KMR2_4.6X2.8,
SCHOTTKY,D2,Adafruit Trinket 5V microUSB-import-fps:SOD-123FL,
