Designator,Mid X,Mid Y,Rotation,Layer
C1,25.4320,22.8760,90.00,Top
C2,15.9700,22.0820,-90.00,Top
CN1,17.5000,30.2540,180.00,Top
CN2,24.5110,3.8100,180.00,Top
CN3,10.2870,3.8100,180.00,Top
JP1,26.1620,31.7500,180.00,Top
JP2,8.0000,26.0000,0.00,Top
JP3,31.2420,23.3680,-90.00,Top
JP4,32.0000,7.0000,0.00,Top
JP5,31.2420,13.2080,-90.00,Top
JP6,31.2420,18.2880,-90.00,Top
LED1,18.7960,2.5400,0.00,Top
LED2,16.2560,2.5400,0.00,Top
LED3,8.1600,32.6550,-90.00,Top
R1,18.7960,11.6840,-90.00,Top
R2,16.2560,11.6840,-90.00,Top
R3,8.1600,28.9400,180.00,Top
R4,4.6990,17.5260,90.00,Top
R7,2.1590,17.5260,90.00,Top
RT1,8.6360,16.5100,180.00,Top
RT2,8.6360,18.7960,180.00,Top
U1,20.8120,20.8600,-90.00,Top
U$14,28.3210,3.0480,-90.00,Bottom
