Comment,Designator,Footprint,LCSC Part #
,TOUCH0,Adafruit 40pin TFT friend-import-fps:1X04-BIG,C42431795
,"CONTROL0,JP1",Adafruit 40pin TFT friend-import-fps:1X06-BIG,C37208
,RED0,Adafruit 40pin TFT friend-import-fps:1X08-BIG,
,"BLUE0,GREEN0",Adafruit 40pin TFT friend-import-fps:1X08-BIG,C492421
,U$15,Adafruit 40pin TFT friend-import-fps:ADAFRUIT_5MM,
0.1uF,C1,Adafruit 40pin TFT friend-import-fps:_0805MP,
10K,R1,Adafruit 40pin TFT friend-import-fps:_0805MP,C17414
10uF,"C6,C7",Adafruit 40pin TFT friend-import-fps:_0805MP,
12Ω,"R3,R4,R7",Adafruit 40pin TFT friend-import-fps:_0805MP,C2907226
1uF,"C2,C8",Adafruit 40pin TFT friend-import-fps:_0805MP,
22,R5,Adafruit 40pin TFT friend-import-fps:_0805MP,C2907310
40PINFPCM4-1734839-0,J1,Adafruit 40pin TFT friend-import-fps:4-1734839-0,
6.8uH power L CID 2276,L1,Adafruit 40pin TFT friend-import-fps:INDUCTOR_5X5MM_NR5040_NOTHERMALS,
6Ω,R2,Adafruit 40pin TFT friend-import-fps:_0805MP,
FAN5333BSX,U3,Adafruit 40pin TFT friend-import-fps:SOT23-5@1,
MBR0540,D2,Adafruit 40pin TFT friend-import-fps:SOD-123,
MIC5225-3.3v,U2,Adafruit 40pin TFT friend-import-fps:SOT23-5,
MM3Z24VT1G,D1,Adafruit 40pin TFT friend-import-fps:SMADIODE,
