Designator,Mid X,Mid Y,Rotation,Layer
C1,110.9500,-89.3000,0.00,Top
C2,110.9500,-91.1500,0.00,Top
C3,108.1000,-90.9500,-90.00,Top
C4,97.2000,-93.5500,-90.00,Top
D1,95.5000,-83.0000,0.00,Top
JP1,104.9500,-90.8000,0.00,Top
JP2,104.9500,-89.0500,0.00,Top
K1,109.7000,-103.0000,-90.00,Top
K2,102.0000,-77.5500,0.00,Top
K3,94.3000,-103.0000,90.00,Top
K4,96.4500,-86.9500,0.00,Top
L1,108.1000,-94.5500,90.00,Top
R1,102.0000,-102.3000,180.00,Top
R2,110.4500,-84.6500,180.00,Top
R3,105.1000,-84.6000,0.00,Top
R4,110.5000,-86.4500,0.00,Top
R5,105.1500,-86.4500,180.00,Top
R6,93.4000,-83.0000,0.00,Top
U1,102.0000,-115.0000,0.00,Top
U2,107.8000,-85.5500,-90.00,Top
U3,111.0000,-94.5500,90.00,Top
U4,101.9000,-96.6000,0.00,Top
