Comment,Designator,Footprint,LCSC Part #
,JP1,TPS62827 3.3V Buck Converter-import-fps:1X04_ROUND,C42431795
,U$11,TPS62827 3.3V Buck Converter-import-fps:ADAFRUIT_2.5MM,
,U$18,TPS62827 3.3V Buck Converter-import-fps:ADAFRUIT_3.5MM,
,U$10,TPS62827 3.3V Buck Converter-import-fps:PCBFEAT-REV-040,
100K,"R1,R3",TPS62827 3.3V Buck Converter-import-fps:0603-NO,C25803
10k,R4,TPS62827 3.3V Buck Converter-import-fps:_0603MP,C98220
120pF,C4,TPS62827 3.3V Buck Converter-import-fps:0603-NO,
22uF,"C1,C2,C3",TPS62827 3.3V Buck Converter-import-fps:0805-NO,
450K,R2,TPS62827 3.3V Buck Converter-import-fps:0603-NO,
green,D1,TPS62827 3.3V Buck Converter-import-fps:CHIPLED_0603_NOOUTLINE,
SDER041H-2R2MS,L1,TPS62827 3.3V Buck Converter-import-fps:INDUCTOR_4X4MM_SRP0415,
TPS6282X,IC2,TPS62827 3.3V Buck Converter-import-fps:VSON_6,
