Comment,Designator,Footprint,LCSC Part #
,JP3,Adafruit bq25185 with 5V Boost Breakout-import-fps:1X08_ROUND_70,C492421
,U$34,Adafruit bq25185 with 5V Boost Breakout-import-fps:ADAFRUIT_2.5MM,
,U$26,Adafruit bq25185 with 5V Boost Breakout-import-fps:ADAFRUIT_5MM,
,U$2,Adafruit bq25185 with 5V Boost Breakout-import-fps:PCBFEAT-REV-040,
,PLABEL0,Adafruit bq25185 with 5V Boost Breakout-import-fps:PLABEL0,
,PLABEL1,Adafruit bq25185 with 5V Boost Breakout-import-fps:PLABEL1,
,PLABEL10,Adafruit bq25185 with 5V Boost Breakout-import-fps:PLABEL10,
,PLABEL12,Adafruit bq25185 with 5V Boost Breakout-import-fps:PLABEL12,
,PLABEL13,Adafruit bq25185 with 5V Boost Breakout-import-fps:PLABEL13,
,PLABEL16,Adafruit bq25185 with 5V Boost Breakout-import-fps:PLABEL16,
,PLABEL17,Adafruit bq25185 with 5V Boost Breakout-import-fps:PLABEL17,
,PLABEL18,Adafruit bq25185 with 5V Boost Breakout-import-fps:PLABEL18,
,PLABEL19,Adafruit bq25185 with 5V Boost Breakout-import-fps:PLABEL19,
,PLABEL2,Adafruit bq25185 with 5V Boost Breakout-import-fps:PLABEL2,
,PLABEL20,Adafruit bq25185 with 5V Boost Breakout-import-fps:PLABEL20,
,PLABEL21,Adafruit bq25185 with 5V Boost Breakout-import-fps:PLABEL21,
,PLABEL22,Adafruit bq25185 with 5V Boost Breakout-import-fps:PLABEL22,
,PLABEL23,Adafruit bq25185 with 5V Boost Breakout-import-fps:PLABEL23,
,PLABEL24,Adafruit bq25185 with 5V Boost Breakout-import-fps:PLABEL24,
,PLABEL25,Adafruit bq25185 with 5V Boost Breakout-import-fps:PLABEL25,
,PLABEL26,Adafruit bq25185 with 5V Boost Breakout-import-fps:PLABEL26,
,PLABEL3,Adafruit bq25185 with 5V Boost Breakout-import-fps:PLABEL3,
,PLABEL4,Adafruit bq25185 with 5V Boost Breakout-import-fps:PLABEL4,
,PLABEL5,Adafruit bq25185 with 5V Boost Breakout-import-fps:PLABEL5,
,PLABEL6,Adafruit bq25185 with 5V Boost Breakout-import-fps:PLABEL6,
,PLABEL7,Adafruit bq25185 with 5V Boost Breakout-import-fps:PLABEL7,
,PLABEL8,Adafruit bq25185 with 5V Boost Breakout-import-fps:PLABEL8,
,PLABEL9,Adafruit bq25185 with 5V Boost Breakout-import-fps:PLABEL9,
,U$4,Adafruit bq25185 with 5V Boost Breakout-import-fps:SYMBOL_MINUS,
,U$3,Adafruit bq25185 with 5V Boost Breakout-import-fps:SYMBOL_PLUS,
100K,"R2,R4",Adafruit bq25185 with 5V Boost Breakout-import-fps:_0402NO,C25530
10K,"R12,R13,R16",Adafruit bq25185 with 5V Boost Breakout-import-fps:_0402NO,C2906861
10uF,C6,Adafruit bq25185 with 5V Boost Breakout-import-fps:0805-NO,
13K,R19,Adafruit bq25185 with 5V Boost Breakout-import-fps:_0402NO,
1uH,L1,Adafruit bq25185 with 5V Boost Breakout-import-fps:INDUCTOR_5045_SMALLTABS,
22K,R10,Adafruit bq25185 with 5V Boost Breakout-import-fps:_0402NO,C82868
22uF,"C1,C2,C3,C7,C8",Adafruit bq25185 with 5V Boost Breakout-import-fps:0805-NO,
3.5mm 2p,X1,Adafruit bq25185 with 5V Boost Breakout-import-fps:TERMBLOCK_1X2-3.5MM,
5.1K,"R5,R6",Adafruit bq25185 with 5V Boost Breakout-import-fps:_0402NO,C25905
600,"R1,R20",Adafruit bq25185 with 5V Boost Breakout-import-fps:_0402NO,
732K,R3,Adafruit bq25185 with 5V Boost Breakout-import-fps:_0402NO,
BQ25185,IC2,Adafruit bq25185 with 5V Boost Breakout-import-fps:WSON10,
GREEN,LED3,Adafruit bq25185 with 5V Boost Breakout-import-fps:CHIPLED_0603_NOOUTLINE,
JST2PH,VBAT0,Adafruit bq25185 with 5V Boost Breakout-import-fps:JSTPH2_BATT,
NSR0320,"D1,D2",Adafruit bq25185 with 5V Boost Breakout-import-fps:SOD-323_MINI,
ORANGE,CHG0,Adafruit bq25185 with 5V Boost Breakout-import-fps:CHIPLED_0603_NOOUTLINE,
RED,FAULT0,Adafruit bq25185 with 5V Boost Breakout-import-fps:CHIPLED_0603_NOOUTLINE,
TPS61023,IC1,Adafruit bq25185 with 5V Boost Breakout-import-fps:SOT563,
USB C,X2,Adafruit bq25185 with 5V Boost Breakout-import-fps:USB_C_CUSB31-CFM2AX-01-X,
