Comment,Designator,Footprint,LCSC Part #
,JP1,Adafruit 0.96in 160x80 TFT Display-import-fps:1X11_ROUND,C2894934
,CN1,Adafruit 0.96in 160x80 TFT Display-import-fps:MICROSD,
,U$6,Adafruit 0.96in 160x80 TFT Display-import-fps:PCBFEAT-REV-040,
0.1uF,C3,Adafruit 0.96in 160x80 TFT Display-import-fps:0805-NO,
10K,"R2,R8",Adafruit 0.96in 160x80 TFT Display-import-fps:0603-NO,C98220
10µF,"C1,C2",Adafruit 0.96in 160x80 TFT Display-import-fps:0805-NO,
1K,R7,Adafruit 0.96in 160x80 TFT Display-import-fps:0603-NO,C2907002
22,R5,Adafruit 0.96in 160x80 TFT Display-import-fps:0603-NO,C23345
74HC4050D,U3,Adafruit 0.96in 160x80 TFT Display-import-fps:SOIC16,
APX803,IC5,Adafruit 0.96in 160x80 TFT Display-import-fps:SOT23,
DISP_LCD_0.9IN_160X80,U$2,Adafruit 0.96in 160x80 TFT Display-import-fps:TFT_0.96IN_160X80,
MIC5225-3.3,U2,Adafruit 0.96in 160x80 TFT Display-import-fps:SOT23-5,
MICROSD,U$4,Adafruit 0.96in 160x80 TFT Display-import-fps:ADAFRUIT_3.5MM,
MMBT2222,Q1,Adafruit 0.96in 160x80 TFT Display-import-fps:SOT23-WIDE,
