Comment,Designator,Footprint,LCSC Part #
,"JP1,JP2",Adafruit 2.8 inch TFT w Capacitive Touch-import-fps:1X20_ROUND,C50981
,U$19,Adafruit 2.8 inch TFT w Capacitive Touch-import-fps:ADAFRUIT_TEXT_30MM,
10,"R1,R2,R3,R4",Adafruit 2.8 inch TFT w Capacitive Touch-import-fps:0805-NO,C17415
10K,"R8,R9,R10,R11,R12,R13,R14,R15,R16",Adafruit 2.8 inch TFT w Capacitive Touch-import-fps:0805-NO,C17414
10K,R6,Adafruit 2.8 inch TFT w Capacitive Touch-import-fps:R0805,C17414
10uF,"C1,C3,C4,C5",Adafruit 2.8 inch TFT w Capacitive Touch-import-fps:0805-NO,
1K,R7,Adafruit 2.8 inch TFT w Capacitive Touch-import-fps:0805-NO,C17513
2.2K,R5,Adafruit 2.8 inch TFT w Capacitive Touch-import-fps:0805-NO,C17520
"2.8"" CTP ILI9341",U$10,Adafruit 2.8 inch TFT w Capacitive Touch-import-fps:TFT_2.83IN_240X320_50PIN,
74LVC245,"IC2,IC3",Adafruit 2.8 inch TFT w Capacitive Touch-import-fps:SO20W,
APX803-SAG,IC4,Adafruit 2.8 inch TFT w Capacitive Touch-import-fps:SOT23,
BSS138,"Q2,Q3,Q4",Adafruit 2.8 inch TFT w Capacitive Touch-import-fps:SOT23-WIDE,C52895
FIDUCIAL,"U$9,U$11,U$23",Adafruit 2.8 inch TFT w Capacitive Touch-import-fps:FIDUCIAL_1MM,
MIC5225-3.3,IC1,Adafruit 2.8 inch TFT w Capacitive Touch-import-fps:SOT23-5L,
microSD,X1,Adafruit 2.8 inch TFT w Capacitive Touch-import-fps:MICROSD,
