Comment,Designator,Footprint,LCSC Part #
,JP2,Adafruit SCD-41-import-fps:1X05_ROUND_76,C42431835
,U$22,Adafruit SCD-41-import-fps:ADAFRUIT_3.5MM,
,U$25,Adafruit SCD-41-import-fps:PCBFEAT-REV-040,
,"U$30,U$31",Adafruit SCD-41-import-fps:STEMMAQT,
0.1uF,"C1,C5",Adafruit SCD-41-import-fps:0603-NO,C14663
10K,R1,Adafruit SCD-41-import-fps:0603-NO,C98220
10K,R3,Adafruit SCD-41-import-fps:RESPACK_4X0603,C98220
10uF,"C2,C3,C4",Adafruit SCD-41-import-fps:0805-NO,
AP2112K-3.3,U2,Adafruit SCD-41-import-fps:SOT23-5,
BSS138,Q2,Adafruit SCD-41-import-fps:SOT363,
GREEN,D1,Adafruit SCD-41-import-fps:CHIPLED_0603_NOOUTLINE,
SCD-41,X1,Adafruit SCD-41-import-fps:SCD41,
STEMMA_I2C_QT,"CONN3,CONN4",Adafruit SCD-41-import-fps:JST_SH4,C160404
