Designator,Mid X,Mid Y,Rotation,Layer
A0,38.4810,7.4930,90.00,Top
A1,36.0680,7.4930,90.00,Top
C1,41.7830,16.3830,0.00,Top
J1,46.9900,11.4300,90.00,Top
JP1,30.4800,19.0500,0.00,Top
JP2,45.7200,6.3500,0.00,Top
JP3,25.4000,3.8100,180.00,Top
MS1,0.0000,0.0000,0.00,Top
R5,41.6560,11.4300,-90.00,Top
R6,37.3380,15.6210,-90.00,Top
SW1,11.4300,19.8120,0.00,Top
U1,37.7190,11.4300,90.00,Top
U$12,49.5300,6.7310,0.00,Top
U$13,49.5300,16.3830,90.00,Top
U$15,44.0690,11.4300,180.00,Bottom
U$16,4.6990,18.2880,0.00,Top
U$17,37.7190,16.1290,180.00,Bottom
