Designator,Mid X,Mid Y,Rotation,Layer
C5,8.2550,5.5880,0.00,Top
C6,12.7000,6.3500,-90.00,Top
CONN3,22.7965,8.8900,90.00,Top
CONN4,2.6035,8.8900,-90.00,Top
D1,3.5560,12.5730,90.00,Top
JP2,12.7000,2.5400,0.00,Top
R1,6.7310,8.6360,-90.00,Top
R5,17.9070,9.6520,-90.00,Top
U1,12.7000,10.1600,0.00,Top
U$28,4.5720,13.7160,0.00,Top
U$29,12.7000,9.5250,180.00,Bottom
U$30,22.4790,4.4450,90.00,Bottom
U$31,2.9210,13.3350,-90.00,Bottom
