Designator,Comment,Footprint,OOMP ID,Reason
PLABEL58,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL58,,No verified LCSC part number
PLABEL59,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL59,,No verified LCSC part number
PLABEL60,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL60,,No verified LCSC part number
PLABEL61,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL61,,No verified LCSC part number
PLABEL62,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL62,,No verified LCSC part number
PLABEL63,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL63,,No verified LCSC part number
PLABEL64,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL64,,No verified LCSC part number
RPI1,RASPBERRYPI_BPLUS_2X20_THMSMT,Adafruit Triple LED Matrix Bonnet-import-fps:RASPI_2X20_THMSMT,,No verified LCSC part number
SW1,SPDT,Adafruit Triple LED Matrix Bonnet-import-fps:EG1390,,No verified LCSC part number
U1,74AHCT245,Adafruit Triple LED Matrix Bonnet-import-fps:TSSOP20,,No verified LCSC part number
U2,74AHCT245,Adafruit Triple LED Matrix Bonnet-import-fps:TSSOP20,,No verified LCSC part number
U3,74AHCT245,Adafruit Triple LED Matrix Bonnet-import-fps:TSSOP20,,No verified LCSC part number
U5,74AHCT245,Adafruit Triple LED Matrix Bonnet-import-fps:TSSOP20,,No verified LCSC part number
U$2,,Adafruit Triple LED Matrix Bonnet-import-fps:ADAFRUIT_5MM,,No verified LCSC part number
U$3,,Adafruit Triple LED Matrix Bonnet-import-fps:PCBFEAT-REV-056,,No verified LCSC part number
