Designator,Mid X,Mid Y,Rotation,Layer
A0,24.5110,8.6360,90.00,Bottom
A1,27.0510,8.6360,90.00,Bottom
A2,29.5910,8.6360,90.00,Bottom
A3,32.1310,8.6360,-90.00,Bottom
A4,34.9250,8.6360,-90.00,Bottom
C1,17.7800,10.2870,0.00,Top
C3,25.7810,8.3820,0.00,Top
C4,46.1010,15.6210,180.00,Top
C5,17.0180,15.1130,90.00,Top
C6,43.5610,11.0490,-90.00,Top
C10,14.8590,10.5410,-90.00,Top
CONN1,32.7660,21.2090,0.00,Top
CONN2,61.8000,15.1000,90.00,Top
IC1,9.2710,13.8430,0.00,Top
IC3,37.9730,14.0970,0.00,Top
JP1,2.6670,12.9540,90.00,Top
LED1,45.4660,2.0320,180.00,Top
MPOWER0,53.0860,3.6830,0.00,Top
PLABEL0,2.4130,19.3040,0.00,Top
PLABEL1,4.8260,22.8600,0.00,Top
PLABEL2,7.4930,19.3040,0.00,Top
PLABEL3,10.0330,22.8600,0.00,Top
PLABEL4,12.4460,19.3040,0.00,Top
PLABEL5,14.9860,22.8600,0.00,Top
PLABEL6,17.5260,19.3040,0.00,Top
PLABEL7,20.1930,22.9870,0.00,Top
PLABEL8,22.4790,19.3040,0.00,Top
PLABEL9,24.8920,22.9870,0.00,Top
PLABEL10,27.4320,19.3040,0.00,Top
PLABEL11,30.0990,22.9870,0.00,Top
PLABEL12,32.7660,19.4310,0.00,Top
PLABEL13,35.3060,22.9870,0.00,Top
PLABEL14,37.8460,19.3040,0.00,Top
PLABEL15,40.3860,22.9870,0.00,Top
PLABEL16,42.9260,19.3040,0.00,Top
PLABEL17,45.4660,22.9870,0.00,Top
PLABEL18,48.0060,19.3040,0.00,Top
PLABEL19,50.2920,22.9870,0.00,Top
PLABEL20,52.9590,19.4310,0.00,Top
PLABEL21,55.3720,22.9870,0.00,Top
PLABEL22,57.9120,19.4310,0.00,Top
PLABEL23,60.4520,22.9870,0.00,Top
PLABEL24,63.2460,19.3040,0.00,Top
PLABEL25,58.4490,12.5270,90.00,Top
PLABEL26,8.8270,7.5710,0.00,Top
PLABEL27,19.4870,7.5710,0.00,Top
PLABEL28,14.0070,7.4630,0.00,Top
PLABEL29,38.0560,7.4440,0.00,Top
PLABEL30,27.7230,7.5440,0.00,Top
PLABEL31,32.8760,7.6170,0.00,Top
PLABEL33,44.3840,6.3770,0.00,Top
PLABEL34,47.3520,0.8890,0.00,Top
PLABEL35,57.5040,0.6810,0.00,Top
PLABEL36,1.1430,15.7480,90.00,Top
PLABEL37,1.1430,13.3350,90.00,Top
PLABEL38,1.1430,10.5410,90.00,Top
PLABEL39,1.1430,7.8550,90.00,Top
PLABEL40,2.6670,6.2500,0.00,Top
PLABEL41,24.2570,11.5650,90.00,Bottom
PLABEL42,26.9970,11.5650,90.00,Bottom
PLABEL43,29.6370,11.5650,90.00,Bottom
PLABEL44,32.0770,11.5650,90.00,Bottom
PLABEL45,34.9710,11.5650,90.00,Bottom
PLABEL46,29.5910,6.2230,180.00,Bottom
PLABEL47,57.5310,5.2070,0.00,Top
Q1,52.9590,13.7160,180.00,Top
R1,31.3690,11.4300,90.00,Top
R2,31.3690,14.2240,180.00,Top
R7,45.4660,10.9220,90.00,Top
RPI1,32.5000,26.5000,0.00,Top
U2,25.6540,13.9700,90.00,Top
U$6,5.5900,1.6100,0.00,Top
U$8,60.4520,8.7630,180.00,Bottom
U$14,29.6000,14.9000,0.00,Top
U$15,61.9760,9.7790,90.00,Bottom
X1,39.9000,3.7000,0.00,Top
X2,21.2000,3.7000,0.00,Top
X3,31.2000,3.7000,0.00,Top
X4,12.5000,3.7000,0.00,Top
