Designator,Mid X,Mid Y,Rotation,Layer
C1,149.8950,-113.9100,180.00,Bottom
C2,148.3320,-108.2390,0.00,Bottom
C3,145.2930,-108.2130,180.00,Bottom
C4,156.3620,-114.5860,90.00,Bottom
C5,154.2870,-114.5860,90.00,Bottom
C6,159.0640,-113.6110,-90.00,Bottom
C7,158.3830,-105.1930,0.00,Bottom
C8,159.1570,-107.4560,90.00,Bottom
C9,157.6420,-107.4560,90.00,Bottom
D1,152.6200,-93.0820,0.00,Top
D2,141.9760,-99.3450,90.00,Top
D3,140.9710,-110.1410,-90.00,Top
D4,142.2350,-92.9980,180.00,Top
D6,147.4240,-106.9210,180.00,Top
J1,147.3200,-96.2660,-90.00,Top
J2,158.7500,-97.7900,-90.00,Top
J3,140.9700,-113.0300,-90.00,Top
J4,147.3200,-110.7440,0.00,Top
J5,135.8900,-97.7900,-90.00,Top
J6,147.3200,-95.7580,0.00,Bottom
JP1,158.7460,-110.8120,-90.00,Bottom
JP2,139.7950,-97.8960,180.00,Top
JP3,152.1683,-99.3880,180.00,Top
L1,140.4260,-110.5260,90.00,Bottom
Q1,140.9190,-105.7710,90.00,Top
R1,143.4680,-105.7720,90.00,Top
R2,149.9810,-109.2280,0.00,Top
R3,145.1940,-109.2800,0.00,Top
R4,140.9190,-103.1150,0.00,Top
R5,153.3430,-95.3090,-90.00,Top
R6,141.9180,-108.9460,-90.00,Bottom
R9,141.1130,-95.2510,-90.00,Top
U2,156.2950,-110.7150,180.00,Top
