Comment,Designator,Footprint,LCSC Part #
,U$10,Adafruit QT2040 Trinkey-import-fps:ADAFRUIT_5MM,
,U$9,Adafruit QT2040 Trinkey-import-fps:PCBFEAT-REV-040,
,"SW2,SW3",Adafruit QT2040 Trinkey-import-fps:SPST_TACTILE_RA,
,U$7,Adafruit QT2040 Trinkey-import-fps:STEMMAQT,
,"TP3,TP4",Adafruit QT2040 Trinkey-import-fps:TESTPOINT_ROUND_1.5MM_NO,
,X1,Adafruit QT2040 Trinkey-import-fps:USBA_PCB,
  NSR0320,D2,Adafruit QT2040 Trinkey-import-fps:SOD-323_MINI,
0.1uF,"C9,C11,C13,C14,C16,C17",Adafruit QT2040 Trinkey-import-fps:0603-NO,C14663
0.1uF,C7,Adafruit QT2040 Trinkey-import-fps:_0603MP,C14663
10K,R1,Adafruit QT2040 Trinkey-import-fps:RESPACK_4X0603,C98220
10uF,"C1,C8",Adafruit QT2040 Trinkey-import-fps:0805-NO,
12MHZ,Y1,Adafruit QT2040 Trinkey-import-fps:CRYSTAL_2.5X2,
1K,"R6,R16",Adafruit QT2040 Trinkey-import-fps:0603-NO,C2907002
1uF,"C2,C12",Adafruit QT2040 Trinkey-import-fps:0603-NO,C5673
22pF,"C19,C20",Adafruit QT2040 Trinkey-import-fps:0603-NO,C105620
27,"R14,R15",Adafruit QT2040 Trinkey-import-fps:0603-NO,C25190
8MB,U5,Adafruit QT2040 Trinkey-import-fps:USON8_4X4,
AP2112K-3.3,U1,Adafruit QT2040 Trinkey-import-fps:SOT23-5,
FIDUCIAL_1MM,"U$6,U$8",Adafruit QT2040 Trinkey-import-fps:FIDUCIAL_1MM,
RP2040_QFN56,IC2,Adafruit QT2040 Trinkey-import-fps:QFN56_7MM_REDUCEDEPAD,
STEMMA_I2C_QTSKINNY,CONN1,Adafruit QT2040 Trinkey-import-fps:JST_SH4_SKINNY,
WS2812B_SK6805_1515,LED1,Adafruit QT2040 Trinkey-import-fps:SK6805_1515,
