Designator,Mid X,Mid Y,Rotation,Layer
C1,7.6200,8.1280,0.00,Top
C2,7.1120,15.6210,0.00,Top
C3,17.5260,8.7630,180.00,Top
C4,12.4460,5.2070,90.00,Top
C5,4.3180,7.1120,90.00,Top
C6,10.5410,5.3340,-90.00,Top
D1,17.6530,10.7950,180.00,Top
JP1,13.3350,1.2700,0.00,Top
JP2,13.3350,19.0500,0.00,Top
Q1,20.9550,13.7160,0.00,Top
Q2,20.7010,5.2070,180.00,Top
R3,11.4300,15.3670,-90.00,Top
R4,13.3350,15.2400,-90.00,Top
R5,17.2720,15.8750,0.00,Top
R6,21.4630,10.9220,180.00,Top
R7,21.2090,7.8740,0.00,Top
R8,14.6050,5.3340,90.00,Top
R9,17.9070,5.3340,90.00,Top
R10,17.3990,13.2080,0.00,Top
U1,7.4930,5.3340,-90.00,Top
U$2,13.3350,10.1600,90.00,Top
U$3,24.6380,10.9220,180.00,Bottom
U$28,26.4160,3.0480,180.00,Bottom
U$33,5.3340,17.2720,0.00,Top
Y1,6.0960,11.8110,180.00,Top
